index,code,longitude,latitude
253,543913182,139.484375,36.093750
254,543913191,139.490625,36.093750
255,543913192,139.496875,36.093750
256,543914101,139.503125,36.093750
257,543914102,139.509375,36.093750
258,543914111,139.515625,36.093750
259,543914112,139.521875,36.093750
260,543914121,139.528125,36.093750
261,543914122,139.534375,36.093750
262,543914131,139.540625,36.093750
263,543914132,139.546875,36.093750
264,543914141,139.553125,36.093750
265,543914142,139.559375,36.093750
266,543914151,139.565625,36.093750
267,543914152,139.571875,36.093750
268,543914161,139.578125,36.093750
269,543914162,139.584375,36.093750
270,543914171,139.590625,36.093750
271,543914172,139.596875,36.093750
272,543914181,139.603125,36.093750
273,543914182,139.609375,36.093750
274,543914191,139.615625,36.093750
275,543914192,139.621875,36.093750
276,543915101,139.628125,36.093750
277,543915102,139.634375,36.093750
278,543915111,139.640625,36.093750
279,543915112,139.646875,36.093750
280,543915121,139.653125,36.093750
281,543915122,139.659375,36.093750
282,543915131,139.665625,36.093750
283,543915132,139.671875,36.093750
284,543915141,139.678125,36.093750
285,543915142,139.684375,36.093750
286,543915151,139.690625,36.093750
287,543915152,139.696875,36.093750
288,543915161,139.703125,36.093750
289,543915162,139.709375,36.093750
290,543915171,139.715625,36.093750
291,543915172,139.721875,36.093750
292,543915181,139.728125,36.093750
293,543915182,139.734375,36.093750
294,543915191,139.740625,36.093750
295,543915192,139.746875,36.093750
296,543916101,139.753125,36.093750
297,543916102,139.759375,36.093750
298,543916111,139.765625,36.093750
299,543916112,139.771875,36.093750
300,543916121,139.778125,36.093750
301,543916122,139.784375,36.093750
302,543916131,139.790625,36.093750
303,543916132,139.796875,36.093750
304,543916141,139.803125,36.093750
305,543916142,139.809375,36.093750
306,543916151,139.815625,36.093750
307,543916152,139.821875,36.093750
308,543916161,139.828125,36.093750
309,543916162,139.834375,36.093750
310,543916171,139.840625,36.093750
311,543916172,139.846875,36.093750
312,543916181,139.853125,36.093750
313,543916182,139.859375,36.093750
314,543916191,139.865625,36.093750
315,543916192,139.871875,36.093750
316,543917101,139.878125,36.093750
317,543917102,139.884375,36.093750
318,543917111,139.890625,36.093750
319,543917112,139.896875,36.093750
320,543917121,139.903125,36.093750
321,543917122,139.909375,36.093750
322,543917131,139.915625,36.093750
323,543917132,139.921875,36.093750
324,543917141,139.928125,36.093750
325,543917142,139.934375,36.093750
326,543917151,139.940625,36.093750
327,543917152,139.946875,36.093750
328,543917161,139.953125,36.093750
329,543917162,139.959375,36.093750
330,543917171,139.965625,36.093750
331,543917172,139.971875,36.093750
332,543917181,139.978125,36.093750
333,543917182,139.984375,36.093750
334,543917191,139.990625,36.093750
335,543917192,139.996875,36.093750
336,544010101,140.003125,36.093750
337,544010102,140.009375,36.093750
338,544010111,140.015625,36.093750
339,544010112,140.021875,36.093750
340,544010121,140.028125,36.093750
341,544010122,140.034375,36.093750
342,544010131,140.040625,36.093750
343,544010132,140.046875,36.093750
344,544010141,140.053125,36.093750
345,544010142,140.059375,36.093750
346,544010151,140.065625,36.093750
347,544010152,140.071875,36.093750
348,544010161,140.078125,36.093750
349,544010162,140.084375,36.093750
350,544010171,140.090625,36.093750
351,544010172,140.096875,36.093750
352,544010181,140.103125,36.093750
353,544010182,140.109375,36.093750
354,544010191,140.115625,36.093750
355,544010192,140.121875,36.093750
356,544011101,140.128125,36.093750
357,544011102,140.134375,36.093750
358,544011111,140.140625,36.093750
359,544011112,140.146875,36.093750
360,544011121,140.153125,36.093750
361,544011122,140.159375,36.093750
362,544011131,140.165625,36.093750
363,544011132,140.171875,36.093750
364,544011141,140.178125,36.093750
365,544011142,140.184375,36.093750
366,544011151,140.190625,36.093750
367,544011152,140.196875,36.093750
368,544011161,140.203125,36.093750
369,544011162,140.209375,36.093750
370,544011171,140.215625,36.093750
371,544011172,140.221875,36.093750
372,544011181,140.228125,36.093750
373,544011182,140.234375,36.093750
374,544011191,140.240625,36.093750
375,544011192,140.246875,36.093750
376,544012101,140.253125,36.093750
377,544012102,140.259375,36.093750
378,544012111,140.265625,36.093750
379,544012112,140.271875,36.093750
380,544012121,140.278125,36.093750
381,544012122,140.284375,36.093750
382,544012131,140.290625,36.093750
383,544012132,140.296875,36.093750
384,544012141,140.303125,36.093750
385,544012142,140.309375,36.093750
386,544012151,140.315625,36.093750
387,544012152,140.321875,36.093750
388,544012161,140.328125,36.093750
389,544012162,140.334375,36.093750
390,544012171,140.340625,36.093750
391,544012172,140.346875,36.093750
392,544012181,140.353125,36.093750
393,544012182,140.359375,36.093750
394,544012191,140.365625,36.093750
395,544012192,140.371875,36.093750
396,544013101,140.378125,36.093750
397,544013102,140.384375,36.093750
398,544013111,140.390625,36.093750
399,544013112,140.396875,36.093750
400,543911023,139.153125,36.089583
401,543911024,139.159375,36.089583
402,543911033,139.165625,36.089583
403,543911034,139.171875,36.089583
404,543911043,139.178125,36.089583
405,543911044,139.184375,36.089583
406,543911053,139.190625,36.089583
407,543911054,139.196875,36.089583
408,543911063,139.203125,36.089583
409,543911064,139.209375,36.089583
410,543911073,139.215625,36.089583
411,543911074,139.221875,36.089583
412,543911083,139.228125,36.089583
413,543911084,139.234375,36.089583
414,543911093,139.240625,36.089583
415,543911094,139.246875,36.089583
416,543912003,139.253125,36.089583
417,543912004,139.259375,36.089583
418,543912013,139.265625,36.089583
419,543912014,139.271875,36.089583
420,543912023,139.278125,36.089583
421,543912024,139.284375,36.089583
422,543912033,139.290625,36.089583
423,543912034,139.296875,36.089583
424,543912043,139.303125,36.089583
425,543912044,139.309375,36.089583
426,543912053,139.315625,36.089583
427,543912054,139.321875,36.089583
428,543912063,139.328125,36.089583
429,543912064,139.334375,36.089583
430,543912073,139.340625,36.089583
431,543912074,139.346875,36.089583
432,543912083,139.353125,36.089583
433,543912084,139.359375,36.089583
434,543912093,139.365625,36.089583
435,543912094,139.371875,36.089583
436,543913003,139.378125,36.089583
437,543913004,139.384375,36.089583
438,543913013,139.390625,36.089583
439,543913014,139.396875,36.089583
440,543913023,139.403125,36.089583
441,543913024,139.409375,36.089583
442,543913033,139.415625,36.089583
443,543913034,139.421875,36.089583
444,543913043,139.428125,36.089583
445,543913044,139.434375,36.089583
446,543913053,139.440625,36.089583
447,543913054,139.446875,36.089583
448,543913063,139.453125,36.089583
449,543913064,139.459375,36.089583
450,543913073,139.465625,36.089583
451,543913074,139.471875,36.089583
452,543913083,139.478125,36.089583
453,543913084,139.484375,36.089583
454,543913093,139.490625,36.089583
455,543913094,139.496875,36.089583
456,543914003,139.503125,36.089583
457,543914004,139.509375,36.089583
458,543914013,139.515625,36.089583
459,543914014,139.521875,36.089583
460,543914023,139.528125,36.089583
461,543914024,139.534375,36.089583
462,543914033,139.540625,36.089583
463,543914034,139.546875,36.089583
464,543914043,139.553125,36.089583
465,543914044,139.559375,36.089583
466,543914053,139.565625,36.089583
467,543914054,139.571875,36.089583
468,543914063,139.578125,36.089583
469,543914064,139.584375,36.089583
470,543914073,139.590625,36.089583
471,543914074,139.596875,36.089583
472,543914083,139.603125,36.089583
473,543914084,139.609375,36.089583
474,543914093,139.615625,36.089583
475,543914094,139.621875,36.089583
476,543915003,139.628125,36.089583
477,543915004,139.634375,36.089583
478,543915013,139.640625,36.089583
479,543915014,139.646875,36.089583
480,543915023,139.653125,36.089583
481,543915024,139.659375,36.089583
482,543915033,139.665625,36.089583
483,543915034,139.671875,36.089583
484,543915043,139.678125,36.089583
485,543915044,139.684375,36.089583
486,543915053,139.690625,36.089583
487,543915054,139.696875,36.089583
488,543915063,139.703125,36.089583
489,543915064,139.709375,36.089583
490,543915073,139.715625,36.089583
491,543915074,139.721875,36.089583
492,543915083,139.728125,36.089583
493,543915084,139.734375,36.089583
494,543915093,139.740625,36.089583
495,543915094,139.746875,36.089583
496,543916003,139.753125,36.089583
497,543916004,139.759375,36.089583
498,543916013,139.765625,36.089583
499,543916014,139.771875,36.089583
500,543916023,139.778125,36.089583
501,543916024,139.784375,36.089583
502,543916033,139.790625,36.089583
503,543916034,139.796875,36.089583
504,543916043,139.803125,36.089583
505,543916044,139.809375,36.089583
506,543916053,139.815625,36.089583
507,543916054,139.821875,36.089583
508,543916063,139.828125,36.089583
509,543916064,139.834375,36.089583
510,543916073,139.840625,36.089583
511,543916074,139.846875,36.089583
512,543916083,139.853125,36.089583
513,543916084,139.859375,36.089583
514,543916093,139.865625,36.089583
515,543916094,139.871875,36.089583
516,543917003,139.878125,36.089583
517,543917004,139.884375,36.089583
518,543917013,139.890625,36.089583
519,543917014,139.896875,36.089583
520,543917023,139.903125,36.089583
521,543917024,139.909375,36.089583
522,543917033,139.915625,36.089583
523,543917034,139.921875,36.089583
524,543917043,139.928125,36.089583
525,543917044,139.934375,36.089583
526,543917053,139.940625,36.089583
527,543917054,139.946875,36.089583
528,543917063,139.953125,36.089583
529,543917064,139.959375,36.089583
530,543917073,139.965625,36.089583
531,543917074,139.971875,36.089583
532,543917083,139.978125,36.089583
533,543917084,139.984375,36.089583
534,543917093,139.990625,36.089583
535,543917094,139.996875,36.089583
536,544010003,140.003125,36.089583
537,544010004,140.009375,36.089583
538,544010013,140.015625,36.089583
539,544010014,140.021875,36.089583
540,544010023,140.028125,36.089583
541,544010024,140.034375,36.089583
542,544010033,140.040625,36.089583
543,544010034,140.046875,36.089583
544,544010043,140.053125,36.089583
545,544010044,140.059375,36.089583
546,544010053,140.065625,36.089583
547,544010054,140.071875,36.089583
548,544010063,140.078125,36.089583
549,544010064,140.084375,36.089583
550,544010073,140.090625,36.089583
551,544010074,140.096875,36.089583
552,544010083,140.103125,36.089583
553,544010084,140.109375,36.089583
554,544010093,140.115625,36.089583
555,544010094,140.121875,36.089583
556,544011003,140.128125,36.089583
557,544011004,140.134375,36.089583
558,544011013,140.140625,36.089583
559,544011014,140.146875,36.089583
560,544011023,140.153125,36.089583
561,544011024,140.159375,36.089583
562,544011033,140.165625,36.089583
563,544011034,140.171875,36.089583
564,544011043,140.178125,36.089583
565,544011044,140.184375,36.089583
566,544011053,140.190625,36.089583
567,544011054,140.196875,36.089583
568,544011063,140.203125,36.089583
569,544011064,140.209375,36.089583
570,544011073,140.215625,36.089583
571,544011074,140.221875,36.089583
572,544011083,140.228125,36.089583
573,544011084,140.234375,36.089583
574,544011093,140.240625,36.089583
575,544011094,140.246875,36.089583
576,544012003,140.253125,36.089583
577,544012004,140.259375,36.089583
578,544012013,140.265625,36.089583
579,544012014,140.271875,36.089583
580,544012023,140.278125,36.089583
581,544012024,140.284375,36.089583
582,544012033,140.290625,36.089583
583,544012034,140.296875,36.089583
584,544012043,140.303125,36.089583
585,544012044,140.309375,36.089583
586,544012053,140.315625,36.089583
587,544012054,140.321875,36.089583
588,544012063,140.328125,36.089583
589,544012064,140.334375,36.089583
590,544012073,140.340625,36.089583
591,544012074,140.346875,36.089583
592,544012083,140.353125,36.089583
593,544012084,140.359375,36.089583
594,544012093,140.365625,36.089583
595,544012094,140.371875,36.089583
596,544013003,140.378125,36.089583
597,544013004,140.384375,36.089583
598,544013013,140.390625,36.089583
599,544013014,140.396875,36.089583
600,543911021,139.153125,36.085417
601,543911022,139.159375,36.085417
602,543911031,139.165625,36.085417
603,543911032,139.171875,36.085417
604,543911041,139.178125,36.085417
605,543911042,139.184375,36.085417
606,543911051,139.190625,36.085417
607,543911052,139.196875,36.085417
608,543911061,139.203125,36.085417
609,543911062,139.209375,36.085417
610,543911071,139.215625,36.085417
611,543911072,139.221875,36.085417
612,543911081,139.228125,36.085417
613,543911082,139.234375,36.085417
614,543911091,139.240625,36.085417
615,543911092,139.246875,36.085417
616,543912001,139.253125,36.085417
617,543912002,139.259375,36.085417
618,543912011,139.265625,36.085417
619,543912012,139.271875,36.085417
620,543912021,139.278125,36.085417
621,543912022,139.284375,36.085417
622,543912031,139.290625,36.085417
623,543912032,139.296875,36.085417
624,543912041,139.303125,36.085417
625,543912042,139.309375,36.085417
626,543912051,139.315625,36.085417
627,543912052,139.321875,36.085417
628,543912061,139.328125,36.085417
629,543912062,139.334375,36.085417
630,543912071,139.340625,36.085417
631,543912072,139.346875,36.085417
632,543912081,139.353125,36.085417
633,543912082,139.359375,36.085417
634,543912091,139.365625,36.085417
635,543912092,139.371875,36.085417
636,543913001,139.378125,36.085417
637,543913002,139.384375,36.085417
638,543913011,139.390625,36.085417
639,543913012,139.396875,36.085417
640,543913021,139.403125,36.085417
641,543913022,139.409375,36.085417
642,543913031,139.415625,36.085417
643,543913032,139.421875,36.085417
644,543913041,139.428125,36.085417
645,543913042,139.434375,36.085417
646,543913051,139.440625,36.085417
647,543913052,139.446875,36.085417
648,543913061,139.453125,36.085417
649,543913062,139.459375,36.085417
650,543913071,139.465625,36.085417
651,543913072,139.471875,36.085417
652,543913081,139.478125,36.085417
653,543913082,139.484375,36.085417
654,543913091,139.490625,36.085417
655,543913092,139.496875,36.085417
656,543914001,139.503125,36.085417
657,543914002,139.509375,36.085417
658,543914011,139.515625,36.085417
659,543914012,139.521875,36.085417
660,543914021,139.528125,36.085417
661,543914022,139.534375,36.085417
662,543914031,139.540625,36.085417
663,543914032,139.546875,36.085417
664,543914041,139.553125,36.085417
665,543914042,139.559375,36.085417
666,543914051,139.565625,36.085417
667,543914052,139.571875,36.085417
668,543914061,139.578125,36.085417
669,543914062,139.584375,36.085417
670,543914071,139.590625,36.085417
671,543914072,139.596875,36.085417
672,543914081,139.603125,36.085417
673,543914082,139.609375,36.085417
674,543914091,139.615625,36.085417
675,543914092,139.621875,36.085417
676,543915001,139.628125,36.085417
677,543915002,139.634375,36.085417
678,543915011,139.640625,36.085417
679,543915012,139.646875,36.085417
680,543915021,139.653125,36.085417
681,543915022,139.659375,36.085417
682,543915031,139.665625,36.085417
683,543915032,139.671875,36.085417
684,543915041,139.678125,36.085417
685,543915042,139.684375,36.085417
686,543915051,139.690625,36.085417
687,543915052,139.696875,36.085417
688,543915061,139.703125,36.085417
689,543915062,139.709375,36.085417
690,543915071,139.715625,36.085417
691,543915072,139.721875,36.085417
692,543915081,139.728125,36.085417
693,543915082,139.734375,36.085417
694,543915091,139.740625,36.085417
695,543915092,139.746875,36.085417
696,543916001,139.753125,36.085417
697,543916002,139.759375,36.085417
698,543916011,139.765625,36.085417
699,543916012,139.771875,36.085417
700,543916021,139.778125,36.085417
701,543916022,139.784375,36.085417
702,543916031,139.790625,36.085417
703,543916032,139.796875,36.085417
704,543916041,139.803125,36.085417
705,543916042,139.809375,36.085417
706,543916051,139.815625,36.085417
707,543916052,139.821875,36.085417
708,543916061,139.828125,36.085417
709,543916062,139.834375,36.085417
710,543916071,139.840625,36.085417
711,543916072,139.846875,36.085417
712,543916081,139.853125,36.085417
713,543916082,139.859375,36.085417
714,543916091,139.865625,36.085417
715,543916092,139.871875,36.085417
716,543917001,139.878125,36.085417
717,543917002,139.884375,36.085417
718,543917011,139.890625,36.085417
719,543917012,139.896875,36.085417
720,543917021,139.903125,36.085417
721,543917022,139.909375,36.085417
722,543917031,139.915625,36.085417
723,543917032,139.921875,36.085417
724,543917041,139.928125,36.085417
725,543917042,139.934375,36.085417
726,543917051,139.940625,36.085417
727,543917052,139.946875,36.085417
728,543917061,139.953125,36.085417
729,543917062,139.959375,36.085417
730,543917071,139.965625,36.085417
731,543917072,139.971875,36.085417
732,543917081,139.978125,36.085417
733,543917082,139.984375,36.085417
734,543917091,139.990625,36.085417
735,543917092,139.996875,36.085417
736,544010001,140.003125,36.085417
737,544010002,140.009375,36.085417
738,544010011,140.015625,36.085417
739,544010012,140.021875,36.085417
740,544010021,140.028125,36.085417
741,544010022,140.034375,36.085417
742,544010031,140.040625,36.085417
743,544010032,140.046875,36.085417
744,544010041,140.053125,36.085417
745,544010042,140.059375,36.085417
746,544010051,140.065625,36.085417
747,544010052,140.071875,36.085417
748,544010061,140.078125,36.085417
749,544010062,140.084375,36.085417
750,544010071,140.090625,36.085417
751,544010072,140.096875,36.085417
752,544010081,140.103125,36.085417
753,544010082,140.109375,36.085417
754,544010091,140.115625,36.085417
755,544010092,140.121875,36.085417
756,544011001,140.128125,36.085417
757,544011002,140.134375,36.085417
758,544011011,140.140625,36.085417
759,544011012,140.146875,36.085417
760,544011021,140.153125,36.085417
761,544011022,140.159375,36.085417
762,544011031,140.165625,36.085417
763,544011032,140.171875,36.085417
764,544011041,140.178125,36.085417
765,544011042,140.184375,36.085417
766,544011051,140.190625,36.085417
767,544011052,140.196875,36.085417
768,544011061,140.203125,36.085417
769,544011062,140.209375,36.085417
770,544011071,140.215625,36.085417
771,544011072,140.221875,36.085417
772,544011081,140.228125,36.085417
773,544011082,140.234375,36.085417
774,544011091,140.240625,36.085417
775,544011092,140.246875,36.085417
776,544012001,140.253125,36.085417
777,544012002,140.259375,36.085417
778,544012011,140.265625,36.085417
779,544012012,140.271875,36.085417
780,544012021,140.278125,36.085417
781,544012022,140.284375,36.085417
782,544012031,140.290625,36.085417
783,544012032,140.296875,36.085417
784,544012041,140.303125,36.085417
785,544012042,140.309375,36.085417
786,544012051,140.315625,36.085417
787,544012052,140.321875,36.085417
788,544012061,140.328125,36.085417
789,544012062,140.334375,36.085417
790,544012071,140.340625,36.085417
791,544012072,140.346875,36.085417
792,544012081,140.353125,36.085417
793,544012082,140.359375,36.085417
794,544012091,140.365625,36.085417
795,544012092,140.371875,36.085417
796,544013001,140.378125,36.085417
797,544013002,140.384375,36.085417
798,544013011,140.390625,36.085417
799,544013012,140.396875,36.085417
800,543901923,139.153125,36.081250
801,543901924,139.159375,36.081250
802,543901933,139.165625,36.081250
803,543901934,139.171875,36.081250
804,543901943,139.178125,36.081250
805,543901944,139.184375,36.081250
806,543901953,139.190625,36.081250
807,543901954,139.196875,36.081250
808,543901963,139.203125,36.081250
809,543901964,139.209375,36.081250
810,543901973,139.215625,36.081250
811,543901974,139.221875,36.081250
812,543901983,139.228125,36.081250
813,543901984,139.234375,36.081250
814,543901993,139.240625,36.081250
815,543901994,139.246875,36.081250
816,543902903,139.253125,36.081250
817,543902904,139.259375,36.081250
